timestamp,status,bucket,relative_path,remote_path,bytes,message
2026-01-19T10:48:32.265Z,OK,archive-people,1.26 Emery Gate Chippenham\1.26 Emery Gate - 2015 Decorations Plan - Workings v1.xls,prospects-and-clients-people-c044accb9f/1.26 Emery Gate Chippenham/1.26 Emery Gate - 2015 Decorations Plan - Workings v1.xls,87552,
2026-01-19T10:48:32.516Z,OK,archive-people,1.26 Emery Gate Chippenham\1.26 Emery Gate - 2015 Decorations Plan - Workings v2.xls,prospects-and-clients-people-c044accb9f/1.26 Emery Gate Chippenham/1.26 Emery Gate - 2015 Decorations Plan - Workings v2.xls,94208,
2026-01-19T10:48:35.389Z,OK,archive-product,1.26 Emery Gate Chippenham\1.26 Emery Gate - 2015 Proposal v1.pdf,prospects-and-clients-product-c044accb9f/1.26 Emery Gate Chippenham/1.26 Emery Gate - 2015 Proposal v1.pdf,3026265,
2026-01-19T10:48:44.062Z,OK,archive-people,1.26 Emery Gate Chippenham\1.26 Emery Gate - 2015 Proposal v1.pptx,prospects-and-clients-people-c044accb9f/1.26 Emery Gate Chippenham/1.26 Emery Gate - 2015 Proposal v1.pptx,9211806,
2026-01-19T10:48:46.954Z,OK,archive-product,1.26 Emery Gate Chippenham\1.26 Emery Gate - 2015 Proposal v2.pdf,prospects-and-clients-product-c044accb9f/1.26 Emery Gate Chippenham/1.26 Emery Gate - 2015 Proposal v2.pdf,3031854,
2026-01-19T10:48:54.840Z,OK,archive-people,1.26 Emery Gate Chippenham\1.26 Emery Gate - 2015 Proposal v2.pptx,prospects-and-clients-people-c044accb9f/1.26 Emery Gate Chippenham/1.26 Emery Gate - 2015 Proposal v2.pptx,9220681,
2026-01-19T10:48:58.370Z,OK,archive-performance,1.26 Emery Gate Chippenham\2014 comparison decs\DSC_1212.JPG,prospects-and-clients-performance-c044accb9f/1.26 Emery Gate Chippenham/2014 comparison decs/DSC_1212.JPG,4016020,
2026-01-19T10:49:02.064Z,OK,archive-performance,1.26 Emery Gate Chippenham\2014 comparison decs\DSC_1215.JPG,prospects-and-clients-performance-c044accb9f/1.26 Emery Gate Chippenham/2014 comparison decs/DSC_1215.JPG,4051366,
2026-01-19T10:49:02.064Z,SKIP,,1.26 Emery Gate Chippenham\2014 comparison decs\Thumbs.db,,33792,SKIP_skip_ext:.db
2026-01-19T10:49:02.448Z,OK,archive-people,1.26 Emery Gate Chippenham\Emery Gate Install v2.xls,prospects-and-clients-people-c044accb9f/1.26 Emery Gate Chippenham/Emery Gate Install v2.xls,38400,
2026-01-19T10:49:02.677Z,OK,archive-people,1.26 Emery Gate Chippenham\Emery Gate Install.xls,prospects-and-clients-people-c044accb9f/1.26 Emery Gate Chippenham/Emery Gate Install.xls,36352,
2026-01-19T10:49:02.877Z,OK,archive-people,1.26 Emery Gate Chippenham\Fizzco Projects - FP1.26 Brief.xlsx,prospects-and-clients-people-c044accb9f/1.26 Emery Gate Chippenham/Fizzco Projects - FP1.26 Brief.xlsx,28953,
2026-01-19T10:49:03.057Z,OK,archive-performance,1.26 Emery Gate Chippenham\map.png,prospects-and-clients-performance-c044accb9f/1.26 Emery Gate Chippenham/map.png,36255,
2026-01-19T10:49:03.057Z,SKIP,,1.26 Emery Gate Chippenham\Thumbs.db,,41472,SKIP_skip_ext:.db
2026-01-19T10:49:21.905Z,OK,archive-people,1.27 Charter Walk Burnley\1.27 2015 - Charter Walk Concept Ideas v1.pptx,prospects-and-clients-people-c044accb9f/1.27 Charter Walk Burnley/1.27 2015 - Charter Walk Concept Ideas v1.pptx,19877041,
2026-01-19T10:49:28.016Z,OK,archive-product,1.27 Charter Walk Burnley\1.27 2015 - Charter Walk Concept Ideas v2.pdf,prospects-and-clients-product-c044accb9f/1.27 Charter Walk Burnley/1.27 2015 - Charter Walk Concept Ideas v2.pdf,5603470,
2026-01-19T10:49:52.221Z,OK,archive-people,1.27 Charter Walk Burnley\1.27 2015 - Charter Walk Concept Ideas v2.pptx,prospects-and-clients-people-c044accb9f/1.27 Charter Walk Burnley/1.27 2015 - Charter Walk Concept Ideas v2.pptx,20731294,
2026-01-19T10:49:52.510Z,OK,archive-people,1.27 Charter Walk Burnley\1.27 Charter Walk - 2015 Decorations Plan - Workings v1.xls,prospects-and-clients-people-c044accb9f/1.27 Charter Walk Burnley/1.27 Charter Walk - 2015 Decorations Plan - Workings v1.xls,112128,
2026-01-19T10:49:52.946Z,OK,archive-people,1.27 Charter Walk Burnley\1.27 Charter Walk - 2015 Decorations Plan - Workings v2.xls,prospects-and-clients-people-c044accb9f/1.27 Charter Walk Burnley/1.27 Charter Walk - 2015 Decorations Plan - Workings v2.xls,217088,
2026-01-19T10:50:00.046Z,OK,archive-people,1.27 Charter Walk Burnley\1.27 Charter Walk - 2015 INSTALL GUIDE - WIP.pptx,prospects-and-clients-people-c044accb9f/1.27 Charter Walk Burnley/1.27 Charter Walk - 2015 INSTALL GUIDE - WIP.pptx,7833753,
